"TIME","GEO","SEX","UNIT","Value"
"2000W01","Belgium","Total","Number","2,814"
"2000W01","Bulgaria","Total","Number","2,740"
"2000W01","Czechia","Total","Number",":"
"2000W01","Denmark","Total","Number",":"
"2000W01","Germany (until 1990 former territory of the FRG)","Total","Number","18,266"
"2000W01","Estonia","Total","Number","410"
"2000W01","Ireland","Total","Number",":"
"2000W01","Greece","Total","Number",":"
"2000W01","Spain","Total","Number","9,414"
"2000W01","France","Total","Number",":"
"2000W01","Croatia","Total","Number","1,069"
"2000W01","Italy","Total","Number",":"
"2000W01","Cyprus","Total","Number",":"
"2000W01","Latvia","Total","Number","1,085"
"2000W01","Lithuania","Total","Number","759"
"2000W01","Luxembourg","Total","Number","93"
"2000W01","Hungary","Total","Number","3,961"
"2000W01","Malta","Total","Number",":"
"2000W01","Netherlands","Total","Number","3,567"
"2000W01","Austria","Total","Number","1,867"
"2000W01","Poland","Total","Number","7,913"
"2000W01","Portugal","Total","Number","2,587"
"2000W01","Romania","Total","Number",":"
"2000W01","Slovenia","Total","Number","414"
"2000W01","Slovakia","Total","Number","1,099"
"2000W01","Finland","Total","Number","1,202"
"2000W01","Sweden","Total","Number","2,364"
"2000W01","Iceland","Total","Number","48"
"2000W01","Liechtenstein","Total","Number","10"
"2000W01","Norway","Total","Number","1,296"
"2000W01","Switzerland","Total","Number","1,611"
"2000W01","United Kingdom","Total","Number",":"
"2000W01","Montenegro","Total","Number",":"
"2000W01","Albania","Total","Number",":"
"2000W01","Serbia","Total","Number","3,297"
"2000W01","Andorra","Total","Number",":"
"2000W01","Armenia","Total","Number",":"
"2000W01","Georgia","Total","Number",":"
"2000W02","Belgium","Total","Number","2,761"
"2000W02","Bulgaria","Total","Number","2,942"
"2000W02","Czechia","Total","Number",":"
"2000W02","Denmark","Total","Number",":"
"2000W02","Germany (until 1990 former territory of the FRG)","Total","Number","18,460"
"2000W02","Estonia","Total","Number","418"
"2000W02","Ireland","Total","Number",":"
"2000W02","Greece","Total","Number",":"
"2000W02","Spain","Total","Number","9,875"
"2000W02","France","Total","Number",":"
"2000W02","Croatia","Total","Number","1,160"
"2000W02","Italy","Total","Number",":"
"2000W02","Cyprus","Total","Number",":"
"2000W02","Latvia","Total","Number","777"
"2000W02","Lithuania","Total","Number","801"
"2000W02","Luxembourg","Total","Number","95"
"2000W02","Hungary","Total","Number","3,458"
"2000W02","Malta","Total","Number",":"
"2000W02","Netherlands","Total","Number","3,443"
"2000W02","Austria","Total","Number","1,902"
"2000W02","Poland","Total","Number","8,292"
"2000W02","Portugal","Total","Number","2,610"
"2000W02","Romania","Total","Number",":"
"2000W02","Slovenia","Total","Number","450"
"2000W02","Slovakia","Total","Number","1,140"
"2000W02","Finland","Total","Number","1,162"
"2000W02","Sweden","Total","Number","2,232"
"2000W02","Iceland","Total","Number","43"
"2000W02","Liechtenstein","Total","Number","7"
"2000W02","Norway","Total","Number","1,219"
"2000W02","Switzerland","Total","Number","1,698"
"2000W02","United Kingdom","Total","Number",":"
"2000W02","Montenegro","Total","Number",":"
"2000W02","Albania","Total","Number",":"
"2000W02","Serbia","Total","Number","3,800"
"2000W02","Andorra","Total","Number",":"
"2000W02","Armenia","Total","Number",":"
"2000W02","Georgia","Total","Number",":"
"2000W03","Belgium","Total","Number","2,640"
"2000W03","Bulgaria","Total","Number","3,336"
"2000W03","Czechia","Total","Number",":"
"2000W03","Denmark","Total","Number",":"
"2000W03","Germany (until 1990 former territory of the FRG)","Total","Number","19,136"
"2000W03","Estonia","Total","Number","450"
"2000W03","Ireland","Total","Number",":"
"2000W03","Greece","Total","Number",":"
"2000W03","Spain","Total","Number","9,626"
"2000W03","France","Total","Number",":"
"2000W03","Croatia","Total","Number","1,164"
"2000W03","Italy","Total","Number",":"
"2000W03","Cyprus","Total","Number",":"
"2000W03","Latvia","Total","Number","821"
"2000W03","Lithuania","Total","Number","820"
"2000W03","Luxembourg","Total","Number","93"
"2000W03","Hungary","Total","Number","3,189"
"2000W03","Malta","Total","Number",":"
"2000W03","Netherlands","Total","Number","3,310"
"2000W03","Austria","Total","Number","2,027"
"2000W03","Poland","Total","Number","8,970"
"2000W03","Portugal","Total","Number","2,920"
"2000W03","Romania","Total","Number",":"
"2000W03","Slovenia","Total","Number","467"
"2000W03","Slovakia","Total","Number","1,257"
"2000W03","Finland","Total","Number","1,201"
"2000W03","Sweden","Total","Number","2,093"
"2000W03","Iceland","Total","Number","49"
"2000W03","Liechtenstein","Total","Number","5"
"2000W03","Norway","Total","Number","1,073"
"2000W03","Switzerland","Total","Number","1,578"
"2000W03","United Kingdom","Total","Number",":"
"2000W03","Montenegro","Total","Number",":"
"2000W03","Albania","Total","Number",":"
"2000W03","Serbia","Total","Number","3,443"
"2000W03","Andorra","Total","Number",":"
"2000W03","Armenia","Total","Number",":"
"2000W03","Georgia","Total","Number",":"
"2000W04","Belgium","Total","Number","2,633"
"2000W04","Bulgaria","Total","Number","3,659"
"2000W04","Czechia","Total","Number",":"
"2000W04","Denmark","Total","Number",":"
"2000W04","Germany (until 1990 former territory of the FRG)","Total","Number","19,715"
"2000W04","Estonia","Total","Number","480"
"2000W04","Ireland","Total","Number",":"
"2000W04","Greece","Total","Number",":"
"2000W04","Spain","Total","Number","9,426"
"2000W04","France","Total","Number",":"
"2000W04","Croatia","Total","Number","1,270"
"2000W04","Italy","Total","Number",":"
"2000W04","Cyprus","Total","Number",":"
"2000W04","Latvia","Total","Number","827"
"2000W04","Lithuania","Total","Number","897"
"2000W04","Luxembourg","Total","Number","85"
